restaurant_name,restaurant_ID,restaurant_address,restaurant_tag,rating,price,review_number,unique_reviewer,reviews_Jan_19,reviews_Feb_19,reviews_Mar_19,reviews_Apr_19,reviews_May_19,reviews_Jun_19,reviews_Jul_19,reviews_Aug_19,reviews_Jan_20,reviews_Feb_20,reviews_Mar_20,reviews_Apr_20,reviews_May_20,reviews_Jun_20,reviews_Jul_20,reviews_Aug_20,restaurant_neighborhood,GIS_ID,CT_ID_10,NUM_REST,RATE_REVIEWS,RATE_REVIEWERS,AVG_RATING,PCT_DLRS_1,PCT_DLRS_2,PCT_DLRS_3,PCT_DLRS_4,PCT_DLRS_NA,reviews_Jan_19,reviews_Feb_19,reviews_Mar_19,reviews_Apr_19,reviews_May_19,reviews_Jun_19,reviews_Jul_19,reviews_Aug_19,reviews_Jan_20,reviews_Feb_20,reviews_Mar_20,reviews_Apr_20,reviews_May_20,reviews_Jun_20,reviews_Jul_20,reviews_Aug_20,closed
Brighton Best Pizza,482,"600 Washington St,Boston, MA 02135,","Pizza,",3.5,$ ,23,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Brighton,2204795000,25025000302,5,124.8,124.8,4.039262821,0.8,0,0,0,0.2,4,6,5,4,9,3,6,4,4,0,3,0,2,0,2,1,FALSE
Crazy Dough's Pizza,884,"2201 Commonwealth Ave,Brighton, MA 02135,","Pizza,",3,$ ,73,73,0,2,1,0,1,2,1,0,1,0,0,0,0,0,1,0,Brighton,2205669000,25025000302,5,124.8,124.8,4.039262821,0.8,0,0,0,0.2,4,6,5,4,9,3,6,4,4,0,3,0,2,0,2,1,FALSE
El Pelon Taqueria,1103,"2197 Commonwealth Ave,Brighton, MA 02135,","Mexican,",4,$ ,419,419,2,3,2,2,5,0,1,3,1,0,2,0,2,0,0,0,Brighton,2205669000,25025000302,5,124.8,124.8,4.039262821,0.8,0,0,0,0.2,4,6,5,4,9,3,6,4,4,0,3,0,2,0,2,1,FALSE
Energize,1126,"618 Washington St,Brighton, MA 02135,","Juice Bars & Smoothies,Vegan,Organic Stores,",5,$ ,109,109,2,1,2,2,3,1,3,1,2,0,1,0,0,0,1,1,Brighton,2204493000,25025000302,5,124.8,124.8,4.039262821,0.8,0,0,0,0.2,4,6,5,4,9,3,6,4,4,0,3,0,2,0,2,1,FALSE
Last Stop Deli,1743,"2195 Commonwealth Ave,Boston, MA 02135,","Delis,",3.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2205669000,25025000302,5,124.8,124.8,4.039262821,0.8,0,0,0,0.2,4,6,5,4,9,3,6,4,4,0,3,0,2,0,2,1,FALSE
Brickhouse Pizza & Grille,479,"256 Washington St,Brighton, MA 02135,","Pizza,",4.5,$ ,224,222,0,1,0,0,1,1,0,1,0,1,0,0,1,2,2,1,Brighton,2205395020,25025000401,7,219.1428571,218.8571429,3.659061278,0.428571429,0.285714286,0,0,0.285714286,6,6,8,15,22,10,13,12,10,5,6,1,6,5,6,3,FALSE
Dates & Olives,956,"160 Chestnut Hill Ave,Boston, MA 02135,","Mediterranean,Sandwiches,",4,$ ,184,184,2,2,1,1,3,0,1,0,2,0,0,0,0,0,0,0,Brighton,2102548000,25025000401,7,219.1428571,218.8571429,3.659061278,0.428571429,0.285714286,0,0,0.285714286,6,6,8,15,22,10,13,12,10,5,6,1,6,5,6,3,FALSE
Fuel America,1272,"152 Chestnut Hill Ave,Brighton, MA 02135,","Coffee & Tea,Juice Bars & Smoothies,Sandwiches,",4,$$ ,248,248,1,0,1,1,1,2,4,4,1,1,1,1,0,1,1,0,Brighton,2102548000,25025000401,7,219.1428571,218.8571429,3.659061278,0.428571429,0.285714286,0,0,0.285714286,6,6,8,15,22,10,13,12,10,5,6,1,6,5,6,3,FALSE
Guido's Restaurant,1394,"256 Washington St,Brighton, MA 02135,","Pizza,",3.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2205395020,25025000401,7,219.1428571,218.8571429,3.659061278,0.428571429,0.285714286,0,0,0.285714286,6,6,8,15,22,10,13,12,10,5,6,1,6,5,6,3,FALSE
Moogy's Restaurant,2075,"154 Chestnut Hill Ave,Brighton, MA 02135,","Sandwiches,Breakfast & Brunch,Hot Dogs,",4,$ ,194,194,0,0,0,0,1,1,2,1,2,1,1,0,2,2,2,1,Brighton,2102548000,25025000401,7,219.1428571,218.8571429,3.659061278,0.428571429,0.285714286,0,0,0.285714286,6,6,8,15,22,10,13,12,10,5,6,1,6,5,6,3,FALSE
Pho 1 Brighton,2398,"1799 Commonwealth Ave,Boston, MA 02135,","Vietnamese,Asian Fusion,",4,NA,49,49,0,0,4,12,6,4,1,4,1,1,0,0,3,0,1,1,Brighton,2102537000,25025000401,7,219.1428571,218.8571429,3.659061278,0.428571429,0.285714286,0,0,0.285714286,6,6,8,15,22,10,13,12,10,5,6,1,6,5,6,3,FALSE
Yamato Restaurant,3574,"117 Chiswick Rd,Brighton, MA 02135,","Japanese,Sushi Bars,",3,$$ ,635,635,3,3,2,1,10,2,5,2,4,1,4,0,0,0,0,0,Brighton,2102537000,25025000401,7,219.1428571,218.8571429,3.659061278,0.428571429,0.285714286,0,0,0.285714286,6,6,8,15,22,10,13,12,10,5,6,1,6,5,6,3,FALSE
Cafe Mirror,587,"362 Washington St,Brighton, MA 02135,","Coffee & Tea,Breakfast & Brunch,",3.5,$ ,116,116,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,Brighton,2204909001,25025000402,7,118.8571429,118.8571429,3.786057692,0.571428571,0.142857143,0,0,0.285714286,6,9,8,10,9,9,10,8,4,3,3,5,3,6,6,2,FALSE
Café 129,625,"129 Lake St,Brighton, MA 02135,","Cafes,",3.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2205268075,25025000402,7,118.8571429,118.8571429,3.786057692,0.571428571,0.142857143,0,0,0.285714286,6,9,8,10,9,9,10,8,4,3,3,5,3,6,6,2,FALSE
Cafénation,632,"380 Washington St,Brighton, MA 02135,","Coffee & Tea,Creperies,Breakfast & Brunch,",4,$ ,450,450,2,0,2,0,1,2,2,1,1,0,1,0,0,0,0,0,Brighton,2204903000,25025000402,7,118.8571429,118.8571429,3.786057692,0.571428571,0.142857143,0,0,0.285714286,6,9,8,10,9,9,10,8,4,3,3,5,3,6,6,2,FALSE
Domino's Pizza,1008,"464 Washington St,Brighton, MA 02135,","Pizza,Chicken Wings,Sandwiches,",2,$ ,61,61,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,Brighton,2205162000,25025000402,7,118.8571429,118.8571429,3.786057692,0.571428571,0.142857143,0,0,0.285714286,6,9,8,10,9,9,10,8,4,3,3,5,3,6,6,2,FALSE
Herrera's Cart,1456,"450 Washington St,Boston, MA 02135,","Mexican,Food Stands,",3,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2205166000,25025000402,7,118.8571429,118.8571429,3.786057692,0.571428571,0.142857143,0,0,0.285714286,6,9,8,10,9,9,10,8,4,3,3,5,3,6,6,2,FALSE
Los Amigos Taqueria,1828,"366 Washington St,Brighton, MA 02135,","Mexican,Tex-Mex,",3.5,$ ,96,96,1,3,3,7,4,6,2,5,0,2,0,3,3,3,5,0,Brighton,2204908000,25025000402,7,118.8571429,118.8571429,3.786057692,0.571428571,0.142857143,0,0,0.285714286,6,9,8,10,9,9,10,8,4,3,3,5,3,6,6,2,FALSE
Gyro City,1398,"181 Chestnut Hill Ave,Boston, MA 02135,","Greek,",4.5,$$ ,106,106,3,3,0,1,3,1,6,1,1,1,2,2,0,3,1,2,Brighton,2205124000,25025000402,7,118.8571429,118.8571429,3.786057692,0.571428571,0.142857143,0,0,0.285714286,6,9,8,10,9,9,10,8,4,3,3,5,3,6,6,2,FALSE
Amelia's Taqueria,94,"1936 Beacon St,Brighton, MA 02135,","Mexican,",3.5,$ ,66,66,2,3,0,0,5,2,1,1,0,2,1,0,1,1,1,0,Brighton,2102396000,25025000502,11,179.3636364,179.1818182,3.6495185,0.363636364,0.363636364,0,0,0.272727273,38,25,30,28,31,28,38,26,25,23,13,4,6,8,14,3,FALSE
